cyp,metric,score
BOM_1A2,jac_rdc,
BOM_1A2,f1s_rdc,
BOM_1A2,apc_rdc,
BOM_2A6,jac_rdc,
BOM_2A6,f1s_rdc,
BOM_2A6,apc_rdc,
BOM_2B6,jac_rdc,
BOM_2B6,f1s_rdc,
BOM_2B6,apc_rdc,
BOM_2C8,jac_rdc,
BOM_2C8,f1s_rdc,
BOM_2C8,apc_rdc,
BOM_2C9,jac_rdc,
BOM_2C9,f1s_rdc,
BOM_2C9,apc_rdc,
BOM_2C19,jac_rdc,
BOM_2C19,f1s_rdc,
BOM_2C19,apc_rdc,
BOM_2D6,jac_rdc,
BOM_2D6,f1s_rdc,
BOM_2D6,apc_rdc,
BOM_2E1,jac_rdc,
BOM_2E1,f1s_rdc,
BOM_2E1,apc_rdc,
BOM_3A4,jac_rdc,
BOM_3A4,f1s_rdc,
BOM_3A4,apc_rdc,
CYP_REACTION_max,jac_rdc,
CYP_REACTION_max,f1s_rdc,
CYP_REACTION_max,apc_rdc,
